,City,Country,Country ISO3,Latitude,Longitude,Population,Input Data Source,Year of Data Collection,Waste Generation Rate (tons/year),Waste Generation Rate per Capita (kg/person/day),Waste Components: Food (%),Waste Components: Green (%),Waste Components: Wood (%),Waste Components: Paper and Cardboard (%),Waste Components: Textiles (%),Waste Components: Plastic (%),Waste Components: Metal (%),Waste Components: Glass (%),Waste Components: Rubber/Leather (%),Waste Components: Other (%),Diversons: Compost (%),Diversons: Anaerobic Digestion (%),Diversons: Incineration (%),Diversons: Recycling (%),Emissions Source,Year Emissions,Emissions: Food (tons CH4/year),Emissions: Green (tons CH4/year),Emissions: Wood (tons CH4/year),Emissions: Paper and Cardboard (tons CH4/year),Emissions: Textiles (tons CH4/year),Emissions: Total (tons CH4/year),Emissions per Capita (kg CH4/person/year),Percentile: Emissions per Capita (%),Population Growth Rate: Historic (%),Population Growth Rate: Future (%),Average Annual Precipitation (mm/year),Percent of Waste to Landfills with Gas Capture (%),Percent of Waste to Landfills without Gas Capture (%),Percent of Waste to Dumpsites (%),Diversion Components: Composted Food (% of Total Composted),Diversion Components: Composted Green (% of Total Composted),Diversion Components: Composted Wood (% of Total Composted),Diversion Components: Composted Paper and Cardboard (% of Total Composted),Diversion Components: Anaerobically Digested Food (% of Total Digested),Diversion Components: Anaerobically Digested Green (% of Total Digested),Diversion Components: Anaerobically Digested Wood (% of Total Digested),Diversion Components: Anaerobically Digested Paper and Cardboard (% of Total Digested),Diversion Components: Incinerated Food (% of Total Incinerated),Diversion Components: Incinerated Green (% of Total Incinerated),Diversion Components: Incinerated Wood (% of Total Incinerated),Diversion Components: Incinerated Paper and Cardboard (% of Total Incinerated),Diversion Components: Incinerated Textiles (% of Total Incinerated),Diversion Components: Incinerated Plastic (% of Total Incinerated),Diversion Components: Incinerated Rubber/Leather (% of Total Incinerated),Diversion Components: Recycled Wood (% of Total Recycled),Diversion Components: Recycled Paper and Cardboard (% of Total Recycled),Diversion Components: Recycled Textiles (% of Total Recycled),Diversion Components: Recycled Plastic (% of Total Recycled),Diversion Components: Recycled Rubber/Leather (% of Total Recycled),Diversion Components: Recycled Metal (% of Total Recycled),Diversion Components: Recycled Glass (% of Total Recycled),Diversion Components: Recycled Other (% of Total Recycled),Diversion Masses: Composted Food (tons),Diversion Masses: Composted Green (tons),Diversion Masses: Composted Wood (tons),Diversion Masses: Composted Paper and Cardboard (tons),Diversion Masses: Anaerobically Digested Food (tons),Diversion Masses: Anaerobically Digested Green (tons),Diversion Masses: Anaerobically Digested Wood (tons),Diversion Masses: Anaerobically Digested Paper and Cardboard (tons),Diversion Masses: Incinerated Food (tons),Diversion Masses: Incinerated Green (tons),Diversion Masses: Incinerated Wood (tons),Diversion Masses: Incinerated Paper and Cardboard (tons),Diversion Masses: Incinerated Textiles (tons),Diversion Masses: Incinerated Plastic (tons),Diversion Masses: Incinerated Rubber/Leather (tons),Diversion Masses: Recycled Wood (tons),Diversion Masses: Recycled Paper and Cardboard (tons),Diversion Masses: Recycled Textiles (tons),Diversion Masses: Recycled Plastic (tons),Diversion Masses: Recycled Rubber/Leather (tons),Diversion Masses: Recycled Metal (tons),Diversion Masses: Recycled Glass (tons),Diversion Masses: Recycled Other (tons),Non Compostable Not Targeted Total (%),Precipitation Zone,k: Food,k: Green,k: Wood,k: Paper and Cardboard,k: Textiles,MEF: Compost,Fraction of Waste to Methane Capture Landfills (%),Methane Capture Efficiency (%)
5002,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2010,1335.0423562816366,0.0,0.0,383.087078923778,0.0,1718.129435205415,1.7152238460102731,29.75871313672922,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5003,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2011,1395.0994825452192,0.0,0.0,400.8934602879872,0.0,1795.9929428332064,1.7929556759182008,30.29490616621984,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5004,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2012,1457.8574868032326,0.0,0.0,419.4805090771542,0.0,1877.3379958803869,1.8741631634814493,30.29490616621984,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5005,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2013,1523.4379646938123,0.0,0.0,438.8840594942284,0.0,1962.3220241880408,1.9590034723059544,31.099195710455763,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5006,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2014,1591.9679643948878,0.0,0.0,459.14153226027486,0.0,2051.1094966551627,2.047640793151564,30.83109919571045,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5007,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2015,1663.5802347111828,0.0,0.0,480.2920068774235,0.0,2143.8722415886064,2.14024666374023,31.903485254691688,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5008,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2016,1738.4134838563557,0.0,0.0,502.3762971106301,0.0,2240.7897809669857,2.237000302454628,31.903485254691688,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5009,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2017,1816.6126494878608,0.0,0.0,525.4370298341636,0.0,2342.049679322024,2.338088956629494,32.171581769437,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5010,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2018,1890.9690279361612,0.0,0.0,548.6945309313413,0.0,2439.6635588675026,2.4355377579056103,32.975871313672926,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
5011,Kota,India,IND,25.1737019,75.8574194,1001694.0,World Bank,2016,216504.0,0.5921585272903865,51.0,0.0,0.0,10.0,0.0,15.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,SWEET Model,2019,1962.3397487122263,0.0,0.0,572.1669385431443,0.0,2534.5066872553703,2.5302204937389763,32.975871313672926,4.498231647470896,2.4793600876776845,719,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.10526315789474,0.0,0.0,13.157894736842104,0.0,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately Dry,0.18,0.09,0.018,0.036,0.036,0.0042438549999999,0.0,60.0
