,Site Name,Site Type,Latitude,Longitude,Country,Country ISO3,Waste in Place (tons),Waste Accepted (tons/year),Emissions: Modeled (tons CH4/year),Emissions Uncertainty: Modeled (tons CH4/year),Normalized Emissions: Modeled (kg CH4/year/ton waste accepted),Normalized Emissions Uncertainty: Modeled (kg CH4/year/ton waste accepted),Emissions Source: Modeled,Emissions: Satellite (tons CH4/year),Emissions Uncertainty: Satellite (tons CH4/year),Normalized Emissions: Satellite (kg CH4/year/ton waste accepted),Normalized Emissions Uncertainty: Satellite (kg CH4/year/ton waste accepted),Emissions Source: Satellite,Waste in Place Year,Site Open Year,Site Close Year,Site Status,Climate TRACE ID,GHGRP ID,Most Recent Plume Filename
40,"Rajarathinam Colony, Cmwssb Division 37, Ward 37, Zone 4 Tondiarpet, Chennai, Chennai District, Tamil Nadu, 600001, India",Dumpsites,13.137487038937492,80.26958850803717,India,IND,38925380.39,2017130.095,32063.39865,,15.895553157170063,,Climate TRACE,,,,,,,,,,1835960702,,
68,Deonar,Dumpsites,19.072319,72.926774,India,IND,26042082.76,1572463.242,24995.17305,,15.89555315659328,,Climate TRACE,,,,,,,,,,1835960716,,emi20230301t050314p03020-B_l3a-ch4-mfa-v0_plume.jpg
74,"Kanjurmarg East, Zone 6, Mumbai, Mumbai Metropolitan Region, Thane, Mumbai Suburban, Maharashtra, 400059, India",Dumpsites,19.12538652244609,72.95175376301363,India,IND,28735158.85,1489068.395,23669.56584,,15.895553165642202,,Climate TRACE,,,,,,,,,,1835960719,,emi20230301t050314p03020-A_l3a-ch4-mfa-v0_plume.jpg
75,"Sewage Treatment Plant, Nh751, Bhavnagar, Bhavnagar Taluka, Bhavnagar District, Gujarat, 364001, India",Dumpsites,21.79697211518435,72.09247399713671,India,IND,10443394.74,541181.245,8602.375249,,15.895553159829108,,Climate TRACE,,,,,,,,,,1835960857,,
154,Ghazipur,Dumpsites,28.624698,77.327405,India,IND,19060340.35,971298.4486,15439.32612,,15.895553155936543,,Climate TRACE,,,,,,,,,,1835960759,,
164,"Sh25, Yeola, Yevla, Nashik, Maharashtra, 423400, India",Dumpsites,20.062762910746827,74.50680740597639,India,IND,17437304.55,903608.6848,14363.35988,,15.89555315438243,,Climate TRACE,,,,,,,,,,1835960764,,
169,"Villianur, Villianur Taluk, Puducherry District, Puducherry, 605110, India",Dumpsites,11.934562906603926,79.76186157558942,India,IND,8966561.797,464651.1215,7385.886601,,15.895553156434165,,Climate TRACE,,,,,,,,,,1835960904,,
175,"Manter Wadi, Haveli, Pune District, Maharashtra, 412308, India",Dumpsites,18.47079410886384,73.95160311557707,India,IND,8951957.826,463894.3373,7373.857099,,15.8955531596225,,Climate TRACE,,,,,,,,,,1835960907,,
210,Kodungaiyur,Dumpsites,13.13435818,80.26847362,India,IND,8467109.764,438769.3005,6974.48074,,15.89555315755278,,Climate TRACE,,,,,,,,,,1835960925,,
212,Okhla,Dumpsites,28.32374,77.1781718,India,IND,8467109.764,438769.3005,6974.48074,,15.89555315755278,,Climate TRACE,,,,,,,,,,1835960926,,
228,"Sh65, Mangrol Taluka, Surat, Gujarat, 394110, India",Dumpsites,21.372670471160923,72.98054100467533,India,IND,8207559.004,425319.2675,6760.685027,,15.895553161132066,,Climate TRACE,,,,,,,,,,1835960934,,
235,"Baravanipalem, Visakhapatnam (Rural), Visakhapatnam, Andhra Pradesh, 530048, India",Dumpsites,17.83901450198546,83.3708902212378,India,IND,13449826.56,696975.8458,11078.81661,,15.895553162654522,,Climate TRACE,,,,,,,,,,1835960799,,
241,Bruhat Bangalore Mahanagara Palike,Dumpsites,13.084375,77.725784,India,IND,9233460.288,794698.7307,10961.73774,,13.79357650457614,,Climate TRACE,,,,,,,,,,1835960802,,
258,"Kolattūr, Sriperumbudur, Chengalpattu, Chengalpattu District, Tamil Nadu, 600012, India",Dumpsites,12.788246563861565,79.98790529582224,India,IND,7926786.108,410769.4943,6529.408332,,15.895553157195586,,Climate TRACE,,,,,,,,,,1835960949,,
276,"Udachiwadi, Purandhar, Pune District, Maharashtra, 412300, India",Dumpsites,18.35760998171488,74.07878350457601,India,IND,7747763.062,401492.4424,6381.944461,,15.89555315873612,,Climate TRACE,,,,,,,,,,1835960958,,
280,"Lalpur Taluka, Jamnagar District, Gujarat, India",Dumpsites,22.321876542053097,69.91264217021424,India,IND,7721782.776,400146.1327,6360.544123,,15.895553157247845,,Climate TRACE,,,,,,,,,,1835960960,,
288,"Odr86, Satana, Baglan, Nashik, Maharashtra, 423300, India",Dumpsites,20.597840519822405,74.21821215186853,India,IND,6000470.721,310946.9954,4942.674495,,15.895553158961317,,Climate TRACE,,,,,,,,,,1835961104,,
293,"Rajkot, Rajkot Taluka, Rajkot, Gujarat, 360001, India, Site 1",Dumpsites,22.256442897543693,70.75735763632122,India,IND,7557397.811,391627.6325,6225.137851,,15.895553159160698,,Climate TRACE,,,,,,,,,,1835960968,,
296,"Palitana Taluka, Bhavnagar District, Gujarat, 364265, India",Dumpsites,21.583292904905964,71.75358325396469,India,IND,5987834.273,310292.1692,4932.26567,,15.895553157904184,,Climate TRACE,,,,,,,,,,1835961108,,
317,"Rathinamangalam, Chengalpattu, Chengalpattu District, Tamil Nadu, 600127, India",Dumpsites,12.863897954258798,80.14419193543908,India,IND,7334460.599,380074.9294,6041.501246,,15.895553162470703,,Climate TRACE,,,,,,,,,,1835960980,,
345,"Barang, Cuttack, Odisha, 754006, India",Dumpsites,20.415112816719105,85.77673018979822,India,IND,7181101.234,372127.7806,5915.176919,,15.895553160429648,,Climate TRACE,,,,,,,,,,1835960994,,
350,"Vyara, Vyara Taluka, Tapi District, Gujarat, 394650, India",Dumpsites,21.11653571450999,73.3967553630269,India,IND,5839575.408,302609.3305,4810.142699,,15.895553157770197,,Climate TRACE,,,,,,,,,,1835961135,,
